,symbol,ppps,qty,total_buy,tp1,sop,sector,check1sl,check2rev,check3fib,check5con,purchase_day,purchase_month,purchase_year,hit_tp1_within_12,symbol_encoded,sector_encoded
0,CTSO,1.02,1960,1999.2,1.0506,1.0098,Healthcare,0,0,0,9,31,10,2024,0,57,6
1,HOFV,1.65,299,493.35,1.6995,1.6335,Communication Services,0,0,0,32,30,10,2024,0,91,1
2,CLSD,1.01,1980,1999.8,1.0403,0.9999,Healthcare,0,0,0,14,31,10,2024,0,44,6
3,DUO,1.09,458,499.22,1.1227,1.0791,Real Estate,0,0,0,0,25,10,2024,0,68,8
4,VUZI,1.13,442,499.46,1.1639,1.1187,Technology,20,0,0,47,31,10,2024,0,189,10
5,CLSD,1.01,495,499.95,1.0403,0.9999,Healthcare,0,0,0,14,31,10,2024,0,44,6
6,CARM,1.02,490,499.8,1.0506,1.0098,Healthcare,0,0,0,10,31,10,2024,0,36,6
7,CNF,1.13,442,499.46,1.1639,1.1187,Financial Services,0,0,0,0,31,10,2024,0,46,5
8,DUO,1.09,458,499.22,1.1227,1.0791,Real Estate,0,0,0,0,25,10,2024,0,68,8
9,VUZI,1.13,442,499.46,1.1639,1.1187,Technology,20,0,0,47,31,10,2024,0,189,10
10,CLSD,1.01,495,499.95,1.0403,0.9999,Healthcare,0,0,0,14,31,10,2024,0,44,6
11,CARM,1.02,490,499.8,1.0506,1.0098,Healthcare,0,0,0,10,31,10,2024,0,36,6
12,CNF,1.13,442,499.46,1.1639,1.1187,Financial Services,0,0,0,0,31,10,2024,0,46,5
13,DUO,1.09,458,499.22,1.1227,1.0791,Real Estate,0,0,0,0,25,10,2024,1,68,8
14,DYAI,1.1,454,499.4,1.133,1.089,Healthcare,0,0,0,10,25,10,2024,0,69,6
15,DRMA,1.54,324,498.96,1.5862,1.5246,Healthcare,0,0,0,27,25,10,2024,0,67,6
16,HYZN,1.8,277,498.6,1.854,1.782,Consumer Cyclical,20,0,0,38,30,10,2024,0,95,2
17,DUO,1.09,458,499.22,1.1227,1.0791,Real Estate,0,0,0,0,25,10,2024,1,68,8
18,DYAI,1.1,454,499.4,1.133,1.089,Healthcare,0,0,0,10,25,10,2024,0,69,6
19,DRMA,1.54,324,498.96,1.5862,1.5246,Healthcare,0,0,0,27,25,10,2024,0,67,6
20,HYZN,1.8,277,498.6,1.854,1.782,Consumer Cyclical,20,0,0,38,30,10,2024,0,95,2
21,CRM,223.2,12,2678.39,231.57300000000004,220.0185,Technology,0,0,0,25,20,11,2023,1,55,10
22,NET,73.37,34,2494.58,81.61900000000001,69.3205,Technology,0,0,0,19,20,11,2023,0,119,10
23,RCL,105.26,25,2631.5,107.735,103.4075,Consumer Cyclical,0,0,0,0,20,11,2023,0,142,2
24,SPOT,178.86,15,2682.9,187.075,174.3175,Communication Services,0,0,0,0,20,11,2023,0,161,1
25,FERG,164.78,16,2636.48,165.058,164.58100000000002,Industrials,0,0,0,0,20,11,2023,0,78,7
26,IOT,27.01,100,2701.0,29.094,26.043,Technology,0,0,0,22,20,11,2023,0,101,10
27,SHOP,69.33,39,2703.87,75.407,66.48649999999999,Technology,0,0,0,28,20,11,2023,0,151,10
28,UBER,54.72,49,2681.28,56.92000000000001,53.935,Technology,0,0,0,15,20,11,2023,1,177,10
29,ELF,111.38,24,2673.12,113.82577,110.080765,Consumer Defensive,0,0,0,0,20,11,2023,0,73,3
30,DKNG,38.45,70,2691.5,40.921560000000014,37.21422,Consumer Cyclical,0,0,0,21,20,11,2023,0,66,2
31,EXPE,135.88,20,2717.6,142.20096999999998,131.255515,Consumer Cyclical,0,0,0,21,20,11,2023,0,75,2
32,CNM,33.84,15,507.6,34.724999999999994,33.36,Industrials,0,0,0,12,21,11,2023,1,48,7
33,XPO,88.95,5,444.75,92.36,87.2,Industrials,0,0,0,12,21,11,2023,0,198,7
34,AZEK,31.24,16,499.84,32.16,30.75,Industrials,0,0,0,17,21,11,2023,1,22,7
35,UNP,221.44,2,442.88,231.85500000000008,216.21,Industrials,0,0,0,27,21,11,2023,1,179,7
36,GDDY,92.55,5,462.75,94.21,91.69,Technology,0,0,0,20,21,11,2023,1,82,10
37,CAH,105.03,5,525.15,110.04000000000002,102.48,Healthcare,0,0,0,11,21,11,2023,0,34,6
38,BLDR,133.9,3,401.7,139.18500000000003,131.16,Industrials,0,0,0,16,21,11,2023,1,29,7
39,PHM,88.08,5,440.4,90.075,87.08999999999999,Consumer Cyclical,0,0,0,25,21,11,2023,0,130,2
40,TOL,85.91,6,515.46,88.165,84.7,Consumer Cyclical,0,0,0,12,21,11,2023,0,170,2
41,JPM,153.53,3,460.59,157.24070000000003,151.64,Financial Services,0,0,0,0,21,11,2023,1,105,5
42,BX,105.8,4,423.2,109.34,104.03,Financial Services,0,0,0,13,21,11,2023,1,33,5
43,CBAY,18.87,27,509.49,21.399999999999995,17.62,Sector not available,0,0,0,17,21,11,2023,0,37,9
44,ACN,329.48,1,329.48,337.38,325.35,Technology,0,0,0,21,21,11,2023,1,1,10
45,SPGI,411.9,1,411.9,422.01000000000016,406.68,Financial Services,0,0,0,0,21,11,2023,1,160,5
46,CAH,105.88,2,211.76,112.5,102.48,Healthcare,0,0,0,11,22,11,2023,0,34,6
47,DDOG,112.65,2,225.3,121.53500000000004,108.68,Technology,0,0,0,0,22,11,2023,0,61,10
